
,SPC_Version,2.0,
,Time_Stamp,2017-11-22 09:28:08,
,Model_Name,NA,
,Test_Station,NA,
,TP_Revision,1.0,
,TP_Rev_Date,1.0,
,TP_Rev_Owner,1.0,
,TP_Checksum,6D2D8E682F1FBE05F8A4B6089A21F55E,
,TestApp_Version,100.0.1899.0,
,Machine_Name,WINDOWS-06NUO3I,
,Factroy_Line,,
,PC_Config,X86-based PC,
SeqNum,Status,Comment,Test_Start_Time,Test_Duration,Failed_Tests,Error_Codes,Fixture_ID,E_Serial_Num,BC_Serial_Num,BC_Serial_Num_Level,INPUT_BOX:INPUT_TITLE,INPUT_BOX:VALUE,INPUT_BOX:INPUT_CRITERIA,N1(1),N1(2),N1(3),N3(1),N3(2),N3(3),Variation, VarResultSummary,N1(1),N1(2),N1(3),N3(1),N3(2),N3(3),Variation, VarResultSummary,TEST_TRACKING:ERRORCODE,TEST_TRACKING:SERIAL,
,Upper_Limit,,,,,,,,,,PLEASE ENTER TITLE,***, , ,3,3,3,3,3,3,3,3,9,9,9,9,9,9,9,9, ,
,Lower_Limit,,,,,,,,,,PLEASE ENTER TITLE,***, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Target_Limit,,,,,,,,,,PLEASE ENTER TITLE,***, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,


0,F,->Seq[1]ID[WINDOWS-06NUO3I]tstsum[4/8 P 50.0% F 50.0%]<-F#[4][(TT1) Test Tracking[A]FOCUSBACKLASH[ 0xff ]GO_TO_Backlash_STATION[INITIAL]POWER OFF],9:28:40 ,72.1095787,4,0x00,0x00,,,,PLEASE ENTER TITLE,111,***,N/A,N/A,,
,SPC_Version,2.0,
,Time_Stamp,2017-11-22 09:31:18,
,Model_Name,NA,
,Test_Station,NA,
,TP_Revision,1.0,
,TP_Rev_Date,1.0,
,TP_Rev_Owner,1.0,
,TP_Checksum,280A64E909BED38EEE5E6B932872FA35,
,TestApp_Version,100.0.1899.0,
,Machine_Name,WINDOWS-06NUO3I,
,Factroy_Line,,
,PC_Config,X86-based PC,
SeqNum,Status,Comment,Test_Start_Time,Test_Duration,Failed_Tests,Error_Codes,Fixture_ID,E_Serial_Num,BC_Serial_Num,BC_Serial_Num_Level,INPUT_BOX:INPUT_TITLE,INPUT_BOX:VALUE,INPUT_BOX:INPUT_CRITERIA,N1(1),N1(2),N1(3),N3(1),N3(2),N3(3),Variation, VarResultSummary,N1(1),N1(2),N1(3),N3(1),N3(2),N3(3),Variation, VarResultSummary,TEST_TRACKING:ERRORCODE,TEST_TRACKING:SERIAL,
,Upper_Limit,,,,,,,,,,PLEASE ENTER TITLE,***, , ,3,3,3,3,3,3,3,3,9,9,9,9,9,9,9,9, ,
,Lower_Limit,,,,,,,,,,PLEASE ENTER TITLE,***, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Target_Limit,,,,,,,,,,PLEASE ENTER TITLE,***, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,


0,F,->Seq[2]ID[WINDOWS-06NUO3I]tstsum[4/8 P 50.0% F 50.0%]<-F#[4][(TT1) Test Tracking[A]FOCUSBACKLASH[ 0xff ]GO_TO_Backlash_STATION[INITIAL]POWER OFF],9:31:20 ,7.9252346,4,0x00,0x00,,,,PLEASE ENTER TITLE,**1,***,N/A,N/A,,
,SPC_Version,2.0,
,Time_Stamp,2017-11-22 09:46:27,
,Model_Name,NA,
,Test_Station,NA,
,TP_Revision,1.0,
,TP_Rev_Date,1.0,
,TP_Rev_Owner,1.0,
,TP_Checksum,097560065A9A003C2861DB1B3750F90C,
,TestApp_Version,100.0.1899.0,
,Machine_Name,WINDOWS-06NUO3I,
,Factroy_Line,,
,PC_Config,X86-based PC,
SeqNum,Status,Comment,Test_Start_Time,Test_Duration,Failed_Tests,Error_Codes,Fixture_ID,E_Serial_Num,BC_Serial_Num,BC_Serial_Num_Level,INPUT_BOX:INPUT_TITLE,INPUT_BOX:VALUE,INPUT_BOX:INPUT_CRITERIA,N1(1),N1(2),N1(3),N3(1),N3(2),N3(3),Variation, VarResultSummary,N1(1),N1(2),N1(3),N3(1),N3(2),N3(3),Variation, VarResultSummary,TEST_TRACKING:ERRORCODE,TEST_TRACKING:SERIAL,
,Upper_Limit,,,,,,,,,,PLEASE ENTER TITLE,***, , ,3,3,3,3,3,3,3,3,9,9,9,9,9,9,9,9, ,
,Lower_Limit,,,,,,,,,,PLEASE ENTER TITLE,***, ,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,Target_Limit,,,,,,,,,,PLEASE ENTER TITLE,***, , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,


0,F,->Seq[3]ID[WINDOWS-06NUO3I]tstsum[4/8 P 50.0% F 50.0%]<-F#[4][(TT1) Test Tracking[A]FOCUSBACKLASH[ 0xff ]GO_TO_Backlash_STATION[INITIAL]POWER OFF],9:46:28 ,7.8623047,4,0x00,0x00,,,,PLEASE ENTER TITLE,009,***,N/A,N/A,,
1,F,->Seq[4]ID[WINDOWS-06NUO3I]tstsum[4/8 P 50.0% F 50.0%]<-F#[4][(TT1) Test Tracking[A]FOCUSBACKLASH[ 0xff ]GO_TO_Backlash_STATION[INITIAL]POWER OFF],9:47:32 ,173.5001114,4,0x00,0x00,,,,PLEASE ENTER TITLE,009,***,1.000000 ,0.000000 ,0.000000 ,1.000000 ,0.000000 ,8.000000 , 8.000000, 0.500000,0.000000 ,0.000000 ,-1.000000 ,0.000000 ,0.000000 ,-1.000000 , 1.000000, 0.000000,,
,SPC_Version,2.0,
,Time_Stamp,2017-11-23 01:52:07,
,Model_Name,NA,
,Test_Station,NA,
,TP_Revision,1.0,
,TP_Rev_Date,1.0,
,TP_Rev_Owner,1.0,
,TP_Checksum,07C4351215BC9FC3E50883FD69735158,
,TestApp_Version,100.0.1899.0,
,Machine_Name,WINDOWS-06NUO3I,
,Factroy_Line,,
,PC_Config,X86-based PC,
